id_funcionario,idade,faixa_etaria,genero,estado_civil,departamento,cargo,nivel_cargo,nivel_cargo_cod,area_formacao,nivel_educacao,renda_mensal,faixa_renda,taxa_diaria,taxa_horaria,perc_aumento_salarial,nivel_stock_option,anos_empresa,anos_cargo_atual,anos_desde_ultima_promocao,anos_mesmo_gestor,anos_experiencia_total,qtd_empresas_anteriores,horas_extras,frequencia_viagem,distancia_casa_km,treinamentos_ultimo_ano,perc_carreira_empresa,media_anos_por_empresa_anterior,indice_estagnacao_cargo,custo_reposicao_est,score_risco,nivel_risco,flag_horas_extras,flag_sem_promocao_3a,flag_distancia_alta,flag_satisfacao_baixa,flag_renda_abaixo_mediana,attrition
1,41,36–45,Feminino,Solteiro(a),Sales,Sales Executive,Pleno,2,Life Sciences,Técnico,5993,Q3 — Média-Alta,1102,94,11,0,6,4,0,5,8,8,1,Viaja Raramente,1,0,0.75,0.25,0.6667,53937,1,Baixo,1,0,0,0,0,1
2,49,46–55,Masculino,Casado(a),Research & Development,Research Scientist,Pleno,2,Life Sciences,Ensino Médio,5130,Q3 — Média-Alta,279,61,23,1,10,7,1,7,10,1,0,Viaja Frequentemente,8,3,1.0,0.0,0.7,46170,1,Baixo,0,0,0,1,0,0
4,37,36–45,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Other,Técnico,2090,Q1 — Baixa,1373,92,15,0,0,0,0,0,7,6,1,Viaja Raramente,2,3,0.0,1.17,,12540,2,Médio,1,0,0,0,1,1
5,33,26–35,Feminino,Casado(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Mestrado,2909,Q1 — Baixa,1392,56,11,0,8,7,3,0,8,1,1,Viaja Frequentemente,3,3,1.0,0.0,0.875,17454,3,Médio,1,1,0,0,1,0
7,27,26–35,Masculino,Casado(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Ensino Médio,3468,Q2 — Média-Baixa,591,40,12,1,2,2,2,2,6,9,0,Viaja Raramente,2,3,0.3333,0.44,1.0,20808,2,Médio,0,0,0,1,1,0
8,32,26–35,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Técnico,3068,Q2 — Média-Baixa,1005,79,13,0,7,7,3,6,8,0,0,Viaja Frequentemente,2,2,0.875,,1.0,18408,2,Médio,0,1,0,0,1,0
10,59,55+,Feminino,Casado(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Graduação,2670,Q1 — Baixa,1324,81,20,3,1,0,0,0,12,4,1,Viaja Raramente,3,3,0.0833,2.75,0.0,16020,3,Médio,1,0,0,1,1,0
11,30,26–35,Masculino,Divorciado(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Ensino Médio,2693,Q1 — Baixa,1358,67,22,1,1,0,0,0,1,1,0,Viaja Raramente,24,2,1.0,0.0,0.0,16158,2,Médio,0,0,1,0,1,0
12,38,36–45,Masculino,Solteiro(a),Research & Development,Manufacturing Director,Sênior,3,Life Sciences,Graduação,9526,Q4 — Alta,216,44,21,0,9,7,1,8,10,0,0,Viaja Frequentemente,23,2,0.9,,0.7778,114312,1,Baixo,0,0,1,0,0,0
13,36,36–45,Masculino,Casado(a),Research & Development,Healthcare Representative,Pleno,2,Medical,Graduação,5237,Q3 — Média-Alta,1299,94,13,2,7,7,7,7,17,6,0,Viaja Raramente,27,3,0.4118,1.67,1.0,47133,2,Médio,0,1,1,0,0,0
