id_funcionario,idade,genero,estado_civil,departamento,cargo,nivel_cargo,nivel_cargo_cod,area_formacao,nivel_educacao,renda_mensal,taxa_diaria,taxa_horaria,perc_aumento_salarial,nivel_stock_option,anos_empresa,anos_cargo_atual,anos_desde_ultima_promocao,anos_mesmo_gestor,anos_experiencia_total,qtd_empresas_anteriores,horas_extras,frequencia_viagem,distancia_casa_km,treinamentos_ultimo_ano,perc_carreira_empresa,media_anos_por_empresa_anterior,indice_estagnacao_cargo,custo_reposicao_est,score_risco,flag_horas_extras,flag_sem_promocao_3a,flag_distancia_alta,flag_satisfacao_baixa,flag_renda_abaixo_mediana,attrition,taxa_diaria_brl,renda_mensal_brl,score_bemestar,prob_attrition,nivel_risco_ml,shap_top1_feat,shap_top2_feat,shap_top3_feat,shap_top1_val,shap_top2_val,shap_top3_val,acao_recomendada
1,41,Feminino,Solteiro(a),Sales,Sales Executive,Pleno,2,Life Sciences,Técnico,5993,1102,94,11,0,6,4,0,5,8,8,1,Viaja Raramente,1,0,0.75,0.25,0.6667,53937,1,1,0,0,0,0,1,6336.5,34459.75,2.2,0.5568,Crítico,nivel_stock_option,score_bemestar,equilibrio_vida_trabalho_cod,0.083,0.0503,0.0501,Revisar benefícios e stock options
2,49,Masculino,Casado(a),Research & Development,Research Scientist,Pleno,2,Life Sciences,Ensino Médio,5130,279,61,23,1,10,7,1,7,10,1,0,Viaja Frequentemente,8,3,1.0,0.0,0.7,46170,1,0,0,0,1,0,0,1604.25,29497.5,2.8,0.077,Baixo,envolvimento_trabalho_cod,frequencia_viagem,satisfacao_trabalho_cod,0.0244,0.019,0.0161,Aumentar desafios / responsabilidades
4,37,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Other,Técnico,2090,1373,92,15,0,0,0,0,0,7,6,1,Viaja Raramente,2,3,0.0,1.17,,12540,2,1,0,0,0,1,1,7894.75,12017.5,2.8,0.3814,Crítico,nivel_stock_option,envolvimento_trabalho_cod,anos_mesmo_gestor,0.044,0.0401,0.0327,Revisar benefícios e stock options
5,33,Feminino,Casado(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Mestrado,2909,1392,56,11,0,8,7,3,0,8,1,1,Viaja Frequentemente,3,3,1.0,0.0,0.875,17454,3,1,1,0,0,1,0,8004.0,16726.75,3.2,0.4372,Crítico,nivel_stock_option,anos_mesmo_gestor,faixa_etaria,0.07,0.0389,0.0329,Revisar benefícios e stock options
7,27,Masculino,Casado(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Ensino Médio,3468,591,40,12,1,2,2,2,2,6,9,0,Viaja Raramente,2,3,0.3333,0.44,1.0,20808,2,0,0,0,1,1,0,3398.25,19941.0,2.6,0.293,Alto,satisfacao_ambiente_cod,faixa_etaria,media_anos_por_empresa_anterior,0.0379,0.0366,0.028,Avaliar condições e ambiente de trabalho
8,32,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Técnico,3068,1005,79,13,0,7,7,3,6,8,0,0,Viaja Frequentemente,2,2,0.875,,1.0,18408,2,0,1,0,0,1,0,5778.75,17641.0,3.2,0.0967,Baixo,nivel_stock_option,equilibrio_vida_trabalho_cod,faixa_etaria,0.0426,0.028,0.0173,Revisar benefícios e stock options
10,59,Feminino,Casado(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Graduação,2670,1324,81,20,3,1,0,0,0,12,4,1,Viaja Raramente,3,3,0.0833,2.75,0.0,16020,3,1,0,0,1,1,0,7613.0,15352.5,2.2,0.1947,Alto,satisfacao_trabalho_cod,anos_mesmo_gestor,score_bemestar,0.0252,0.0248,0.0219,Conversa 1:1 sobre satisfação no trabalho
11,30,Masculino,Divorciado(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Ensino Médio,2693,1358,67,22,1,1,0,0,0,1,1,0,Viaja Raramente,24,2,1.0,0.0,0.0,16158,2,0,0,1,0,1,0,7808.5,15484.75,3.0,0.3564,Crítico,anos_mesmo_gestor,anos_experiencia_total,anos_empresa,0.0493,0.0431,0.0368,Conversa de retenção personalizada
12,38,Masculino,Solteiro(a),Research & Development,Manufacturing Director,Sênior,3,Life Sciences,Graduação,9526,216,44,21,0,9,7,1,8,10,0,0,Viaja Frequentemente,23,2,0.9,,0.7778,114312,1,0,0,1,0,0,0,1242.0,54774.5,2.8,0.1167,Médio,nivel_stock_option,envolvimento_trabalho_cod,frequencia_viagem,0.0471,0.0195,0.0185,Revisar benefícios e stock options
13,36,Masculino,Casado(a),Research & Development,Healthcare Representative,Pleno,2,Medical,Graduação,5237,1299,94,13,2,7,7,7,7,17,6,0,Viaja Raramente,27,3,0.4118,1.67,1.0,47133,2,0,1,1,0,0,0,7469.25,30112.75,2.6,0.094,Baixo,equilibrio_vida_trabalho_cod,flag_satisfacao_baixa,media_anos_por_empresa_anterior,0.0345,0.009,0.009,Revisar jornada e flexibilidade
14,35,Masculino,Casado(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Graduação,2426,809,84,13,1,5,4,0,3,6,0,0,Viaja Raramente,16,5,0.8333,,0.8,14556,3,0,0,1,1,1,0,4651.75,13949.5,2.6,0.2131,Alto,renda_mensal_brl,faixa_etaria,satisfacao_ambiente_cod,0.0303,0.0281,0.0238,Revisar posicionamento salarial
15,29,Feminino,Solteiro(a),Research & Development,Laboratory Technician,Pleno,2,Life Sciences,Técnico,4193,153,49,12,0,9,5,0,8,10,0,1,Viaja Raramente,15,3,0.9,,0.5556,37737,2,1,0,0,0,1,0,879.75,24109.75,3.2,0.1668,Médio,nivel_stock_option,envolvimento_trabalho_cod,faixa_etaria,0.0513,0.0264,0.0198,Revisar benefícios e stock options
16,31,Masculino,Divorciado(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Ensino Médio,2911,670,31,17,1,5,2,4,3,5,1,0,Viaja Raramente,26,1,1.0,0.0,0.4,17466,3,0,1,1,0,1,0,3852.5,16738.25,2.6,0.1503,Médio,equilibrio_vida_trabalho_cod,satisfacao_ambiente_cod,faixa_etaria,0.0298,0.0236,0.0198,Revisar jornada e flexibilidade
18,34,Masculino,Divorciado(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Técnico,2661,1346,93,11,1,2,2,1,2,3,0,0,Viaja Raramente,19,2,0.6667,,1.0,15966,2,0,0,1,0,1,0,7739.5,15300.75,3.0,0.1076,Baixo,faixa_etaria,anos_empresa,satisfacao_ambiente_cod,0.0221,0.0162,0.0152,Conversa de retenção personalizada
19,28,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Life Sciences,Graduação,2028,103,50,14,0,4,2,0,3,6,5,1,Viaja Raramente,24,4,0.6667,0.4,0.5,12168,3,1,0,1,0,1,1,592.25,11661.0,2.6,0.7847,Crítico,nivel_stock_option,envolvimento_trabalho_cod,faixa_etaria,0.0623,0.0495,0.044,Revisar benefícios e stock options
20,29,Feminino,Divorciado(a),Research & Development,Manufacturing Director,Sênior,3,Life Sciences,Mestrado,9980,1389,51,11,1,10,9,8,8,10,1,0,Viaja Raramente,21,1,1.0,0.0,0.9,119760,3,0,1,1,1,0,0,7986.75,57385.0,2.6,0.1052,Baixo,faixa_etaria,satisfacao_trabalho_cod,satisfacao_ambiente_cod,0.0195,0.0169,0.0135,Conversa de retenção personalizada
21,32,Masculino,Divorciado(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Técnico,3298,334,80,12,2,6,2,0,5,7,0,1,Viaja Raramente,5,5,0.8571,,0.3333,19788,3,1,0,0,1,1,0,1920.5,18963.5,2.6,0.2222,Alto,equilibrio_vida_trabalho_cod,faixa_etaria,satisfacao_trabalho_cod,0.0288,0.0229,0.0207,Revisar jornada e flexibilidade
22,22,Masculino,Divorciado(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Técnico,2935,1123,96,13,2,1,0,0,0,1,1,1,Sem Viagem,16,2,1.0,0.0,0.0,17610,3,1,0,1,0,1,0,6457.25,16876.25,3.2,0.4384,Crítico,faixa_etaria,anos_experiencia_total,anos_mesmo_gestor,0.0599,0.0392,0.0332,Conversa de retenção personalizada
23,53,Feminino,Casado(a),Sales,Manager,Especialista,4,Life Sciences,Mestrado,15427,1219,78,16,0,25,8,3,7,31,2,0,Viaja Raramente,2,3,0.8065,3.0,0.32,277686,1,0,1,0,0,0,0,7009.25,88705.25,2.6,0.2259,Alto,nivel_stock_option,envolvimento_trabalho_cod,satisfacao_ambiente_cod,0.059,0.0395,0.0263,Revisar benefícios e stock options
24,38,Masculino,Solteiro(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Graduação,3944,371,45,11,0,3,2,1,2,6,5,1,Viaja Raramente,2,3,0.5,0.6,0.6667,23664,2,1,0,0,0,1,0,2133.25,22678.0,3.4,0.0949,Baixo,nivel_stock_option,media_anos_por_empresa_anterior,nivel_cargo_cod,0.04,0.0147,0.0145,Revisar benefícios e stock options
26,24,Feminino,Divorciado(a),Research & Development,Manufacturing Director,Pleno,2,Other,Técnico,4011,673,96,18,1,4,2,1,3,5,0,0,Sem Viagem,11,5,0.8,,0.5,36099,1,0,0,0,0,1,0,3869.75,23063.25,2.8,0.2087,Alto,faixa_etaria,equilibrio_vida_trabalho_cod,satisfacao_ambiente_cod,0.0403,0.0287,0.0188,Conversa de retenção personalizada
27,36,Masculino,Solteiro(a),Sales,Sales Representative,Júnior,1,Life Sciences,Mestrado,3407,1218,82,23,0,5,3,0,3,10,7,0,Viaja Raramente,9,4,0.5,0.71,0.6,20442,2,0,0,0,1,1,1,7003.5,19590.25,2.2,0.596,Crítico,nivel_stock_option,score_bemestar,envolvimento_trabalho_cod,0.0999,0.0632,0.0501,Revisar benefícios e stock options
28,34,Feminino,Solteiro(a),Research & Development,Research Director,Sênior,3,Life Sciences,Mestrado,11994,419,53,11,0,12,6,2,11,13,0,0,Viaja Raramente,7,4,0.9231,,0.5,143928,1,0,0,0,1,0,0,2409.25,68965.5,2.4,0.2144,Alto,nivel_stock_option,score_bemestar,faixa_etaria,0.0588,0.0326,0.0276,Revisar benefícios e stock options
30,21,Masculino,Solteiro(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Técnico,1232,391,96,14,0,0,0,0,0,0,1,0,Viaja Raramente,15,6,,0.0,,7392,1,0,0,0,0,1,0,2248.25,7084.0,3.4,0.3951,Crítico,faixa_etaria,anos_experiencia_total,nivel_stock_option,0.0514,0.0474,0.0423,Conversa de retenção personalizada
31,34,Masculino,Solteiro(a),Research & Development,Research Scientist,Júnior,1,Medical,Ensino Médio,2960,699,83,11,0,4,2,1,3,8,2,0,Viaja Raramente,6,2,0.5,2.0,0.5,17760,2,0,0,0,1,1,1,4019.25,17020.0,2.4,0.5942,Crítico,nivel_stock_option,score_bemestar,faixa_etaria,0.0724,0.054,0.05,Revisar benefícios e stock options
32,53,Feminino,Divorciado(a),Research & Development,Manager,Diretor,5,Other,Graduação,19094,1282,58,11,1,14,13,4,8,26,4,0,Viaja Raramente,5,3,0.5385,3.0,0.9286,458256,1,0,1,0,0,0,0,7371.5,109790.5,3.0,0.0922,Baixo,equilibrio_vida_trabalho_cod,perc_aumento_salarial,anos_desde_ultima_promocao,0.0286,0.0111,0.0066,Revisar jornada e flexibilidade
33,32,Feminino,Solteiro(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Ensino Médio,3919,1125,72,22,0,10,2,6,7,10,1,1,Viaja Frequentemente,16,5,1.0,0.0,0.2,23514,5,1,1,1,1,1,1,6468.75,22534.25,1.8,0.7629,Crítico,nivel_stock_option,score_bemestar,envolvimento_trabalho_cod,0.0845,0.049,0.0439,Revisar benefícios e stock options
35,42,Masculino,Casado(a),Sales,Sales Executive,Pleno,2,Marketing,Mestrado,6825,691,48,11,1,9,7,4,2,10,0,0,Viaja Raramente,8,2,0.9,,0.7778,61425,2,0,1,0,1,0,0,3973.25,39243.75,3.0,0.1072,Baixo,satisfacao_trabalho_cod,perc_aumento_salarial,anos_desde_ultima_promocao,0.0159,0.0107,0.0072,Conversa 1:1 sobre satisfação no trabalho
36,44,Feminino,Casado(a),Research & Development,Healthcare Representative,Sênior,3,Medical,Mestrado,10248,477,42,14,1,22,6,5,17,24,3,0,Viaja Raramente,7,4,0.9167,0.67,0.2727,122976,1,0,1,0,0,0,0,2742.75,58926.0,2.8,0.0968,Baixo,satisfacao_ambiente_cod,envolvimento_trabalho_cod,media_anos_por_empresa_anterior,0.0267,0.0236,0.0159,Avaliar condições e ambiente de trabalho
38,46,Feminino,Solteiro(a),Sales,Manager,Diretor,5,Marketing,Mestrado,18947,705,83,12,0,2,2,2,1,22,3,0,Viaja Raramente,2,2,0.0909,6.67,1.0,454728,1,0,0,0,1,0,0,4053.75,108945.25,2.4,0.17,Médio,nivel_stock_option,satisfacao_trabalho_cod,equilibrio_vida_trabalho_cod,0.0493,0.0299,0.0296,Revisar benefícios e stock options
39,33,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Graduação,2496,924,78,11,0,1,1,0,0,7,4,0,Viaja Raramente,2,3,0.1429,1.5,1.0,14976,1,0,0,0,0,1,0,5313.0,14352.0,3.4,0.173,Médio,nivel_stock_option,anos_mesmo_gestor,faixa_etaria,0.0363,0.0344,0.0286,Revisar benefícios e stock options
40,44,Masculino,Casado(a),Research & Development,Healthcare Representative,Pleno,2,Other,Mestrado,6465,1459,41,13,0,4,2,1,3,9,2,1,Viaja Raramente,10,5,0.4444,2.5,0.5,58185,1,1,0,0,0,0,0,8389.25,37173.75,3.8,0.07,Baixo,nivel_stock_option,estado_civil,horas_extras,0.0444,0.0107,0.0089,Revisar benefícios e stock options
41,30,Masculino,Solteiro(a),Research & Development,Laboratory Technician,Júnior,1,Medical,Técnico,2206,125,83,13,0,10,0,1,8,10,1,0,Viaja Raramente,9,5,1.0,0.0,0.0,13236,1,0,0,0,0,1,0,718.75,12684.5,2.6,0.2922,Alto,nivel_stock_option,envolvimento_trabalho_cod,faixa_etaria,0.0497,0.028,0.026,Revisar benefícios e stock options
42,39,Masculino,Casado(a),Sales,Sales Representative,Pleno,2,Technical Degree,Graduação,2086,895,56,14,1,1,0,0,0,19,3,0,Viaja Raramente,5,6,0.0526,6.0,0.0,18774,1,0,0,0,0,1,1,5146.25,11994.5,3.6,0.3157,Alto,renda_mensal_brl,anos_mesmo_gestor,anos_empresa,0.0496,0.0366,0.0245,Revisar posicionamento salarial
45,24,Masculino,Casado(a),Research & Development,Research Scientist,Júnior,1,Medical,Graduação,2293,813,61,16,1,2,0,2,0,6,2,1,Viaja Raramente,1,2,0.3333,2.0,0.0,13758,2,1,0,0,0,1,1,4674.75,13184.75,2.4,0.7473,Crítico,faixa_etaria,renda_mensal_brl,anos_mesmo_gestor,0.0744,0.0453,0.0449,Conversa de retenção personalizada
46,43,Feminino,Divorciado(a),Research & Development,Research Scientist,Júnior,1,Medical,Técnico,2645,1273,72,12,2,5,3,1,4,6,1,0,Viaja Raramente,2,3,0.8333,1.0,0.6,15870,1,0,0,0,0,1,0,7319.75,15208.75,3.4,0.1027,Baixo,equilibrio_vida_trabalho_cod,media_anos_por_empresa_anterior,nivel_cargo_cod,0.0314,0.0108,0.0098,Revisar jornada e flexibilidade
47,50,Masculino,Casado(a),Sales,Sales Representative,Júnior,1,Marketing,Técnico,2683,869,86,14,0,3,2,0,2,3,1,1,Viaja Raramente,3,2,1.0,0.0,0.6667,16098,2,1,0,0,0,1,1,4996.75,15427.25,2.4,0.4757,Crítico,nivel_stock_option,envolvimento_trabalho_cod,score_bemestar,0.0695,0.0466,0.035,Revisar benefícios e stock options
49,35,Feminino,Casado(a),Sales,Sales Representative,Júnior,1,Marketing,Graduação,2014,890,97,13,0,2,2,2,2,2,1,0,Viaja Raramente,2,3,1.0,0.0,1.0,12084,1,0,0,0,0,1,0,5117.5,11580.5,3.0,0.2194,Alto,nivel_stock_option,anos_experiencia_total,faixa_etaria,0.0508,0.0261,0.0231,Revisar benefícios e stock options
51,36,Feminino,Casado(a),Research & Development,Research Scientist,Júnior,1,Life Sciences,Mestrado,3419,852,82,14,1,1,1,0,0,6,9,1,Viaja Raramente,5,3,0.1667,0.56,1.0,20514,3,1,0,0,1,1,0,4899.0,19659.25,2.6,0.2281,Alto,envolvimento_trabalho_cod,anos_mesmo_gestor,satisfacao_trabalho_cod,0.0385,0.0326,0.0234,Aumentar desafios / responsabilidades
52,33,Feminino,Casado(a),Sales,Sales Executive,Pleno,2,Life Sciences,Graduação,5376,1141,42,19,2,5,3,1,3,10,2,0,Viaja Frequentemente,1,3,0.5,2.5,0.6,48384,1,0,0,0,1,0,0,6560.75,30912.0,2.4,0.2169,Alto,score_bemestar,frequencia_viagem,faixa_etaria,0.0408,0.0407,0.0338,Programa de bem-estar e saúde mental
